"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-02-01","8,879.91","8,782.77","8,912.35","8,766.90","","2.16%"
"2023-01-01","8,691.88","8,145.60","8,691.88","8,113.15","","6.28%"
"2022-12-01","8,178.02","8,671.90","8,671.90","8,056.62","","-5.76%"
"2022-11-01","8,678.00","8,185.07","8,678.00","7,897.01","","5.59%"
"2022-10-01","8,218.71","7,800.00","8,280.11","7,588.90","","8.10%"
"2022-09-01","7,603.14","8,400.96","8,708.17","7,603.14","","-9.21%"
"2022-08-01","8,374.42","8,705.87","9,107.87","8,374.42","","-4.08%"
"2022-07-01","8,730.46","8,077.89","8,730.46","8,008.71","","9.22%"
"2022-06-01","7,993.43","8,648.28","8,809.18","7,739.39","","-8.25%"
"2022-05-01","8,712.60","8,746.05","9,050.90","8,220.97","","0.18%"
"2022-04-01","8,696.65","9,559.95","9,637.37","8,696.65","","-8.72%"
"2022-03-01","9,527.46","9,044.47","9,738.60","8,762.11","","3.71%"
"2022-02-01","9,186.37","9,534.96","9,624.89","8,871.95","","-2.99%"
"2022-01-01","9,469.92","10,050.41","10,050.41","9,072.24","","-5.17%"
"2021-12-01","9,986.70","9,446.21","10,041.61","9,446.21","","4.48%"
"2021-11-01","9,558.33","9,642.45","9,842.35","9,558.33","","-0.69%"
"2021-10-01","9,625.02","9,098.25","9,625.02","8,980.64","","7.01%"
"2021-09-01","8,994.83","9,437.15","9,465.47","8,994.83","","-4.65%"
"2021-08-01","9,433.58","9,138.36","9,445.24","9,138.36","","3.04%"
"2021-07-01","9,155.21","8,990.08","9,209.63","8,867.07","","2.38%"
"2021-06-01","8,942.78","8,734.74","8,942.78","8,667.76","","2.33%"
"2021-05-01","8,738.77","8,702.03","8,787.82","8,437.24","","0.70%"
"2021-04-01","8,678.16","8,335.91","8,740.35","8,335.91","","5.34%"
"2021-03-01","8,238.48","8,080.78","8,240.38","7,806.45","","4.38%"
"2021-02-01","7,892.81","7,804.31","8,142.79","7,804.31","","2.76%"
"2021-01-01","7,681.01","7,645.27","7,970.92","7,645.27","","-1.01%"
"2020-12-01","7,759.35","7,556.52","7,759.35","7,530.87","","3.84%"
"2020-11-01","7,472.06","6,817.89","7,505.38","6,817.89","","10.95%"
"2020-10-01","6,734.84","6,956.20","7,275.43","6,734.84","","-2.66%"
"2020-09-01","6,918.83","7,246.37","7,358.48","6,657.82","","-3.80%"
"2020-08-01","7,192.11","6,758.20","7,207.10","6,758.20","","7.19%"
"2020-07-01","6,709.81","6,383.76","6,717.29","6,383.76","","5.64%"
"2020-06-01","6,351.67","6,251.48","6,615.40","6,145.30","","1.99%"
"2020-05-01","6,227.81","5,778.53","6,227.81","5,761.70","","4.76%"
"2020-04-01","5,944.68","5,036.64","5,999.74","5,036.64","","12.82%"
"2020-03-01","5,269.20","6,288.64","6,370.35","4,559.50","","-12.35%"
"2020-02-01","6,011.73","6,598.63","6,886.47","6,011.73","","-8.23%"
"2020-01-01","6,551.00","6,609.29","6,759.51","6,551.00","","-0.04%"
"2019-12-01","6,553.57","6,306.88","6,571.03","6,265.22","","3.02%"
"2019-11-01","6,361.56","6,198.59","6,385.76","6,198.59","","3.63%"
"2019-10-01","6,138.73","5,935.20","6,156.93","5,828.93","","2.17%"
"2019-09-01","6,008.59","5,857.95","6,070.23","5,857.95","","1.87%"
"2019-08-01","5,898.23","5,939.83","5,939.83","5,719.30","5.80K","-1.58%"
"2019-07-01","5,993.17","5,953.63","6,083.82","5,953.63","","1.44%"
"2019-06-01","5,908.25","5,504.05","5,931.66","5,504.05","","7.05%"
"2019-05-01","5,519.27","5,849.65","5,894.30","5,519.27","","-6.35%"
"2019-04-01","5,893.81","5,730.04","5,893.81","5,730.04","","4.05%"
"2019-03-01","5,664.46","5,595.11","5,703.28","5,476.39","","1.94%"
"2019-02-01","5,556.49","5,389.19","5,577.09","5,389.19","","3.21%"
"2019-01-01","5,383.63","4,990.56","5,383.63","4,868.30","","8.01%"
"2018-12-01","4,984.22","5,538.86","5,538.86","4,672.66","","-9.03%"
"2018-11-01","5,478.91","5,426.33","5,573.06","5,222.43","","2.04%"
"2018-10-01","5,369.49","5,784.45","5,786.48","5,229.28","","-6.84%"
"2018-09-01","5,763.42","5,721.86","5,794.72","5,674.58","","0.57%"
"2018-08-01","5,730.80","5,544.19","5,754.00","5,544.19","","3.26%"
"2018-07-01","5,549.96","5,367.49","5,607.99","5,340.93","","3.72%"
"2018-06-01","5,350.83","5,376.29","5,481.07","5,312.89","","0.62%"
"2018-05-01","5,318.10","5,206.31","5,369.99","5,157.70","","2.41%"
"2018-04-01","5,193.04","5,057.69","5,310.32","5,057.69","","0.38%"
"2018-03-01","5,173.19","5,238.18","5,454.03","5,069.03","","-2.54%"
"2018-02-01","5,308.09","5,508.70","5,508.70","5,040.06","","-3.69%"
